deputado;partido;UF;n_ocorrencias
Lucio Mosquini (PMDB-RO);PMDB;RO;2
Luiz Cláudio (PR-RO);PR;RO;3
Marcos Rogério (DEM-RO);DEM;RO;0
Mariana Carvalho (PSDB-RO);PSDB;RO;0
Marinha Raupp (PMDB-RO);PMDB;RO;1
Nilton Capixaba (PTB-RO);PTB;RO;5
Alexandre Baldy (PTN-GO);PTN;GO;0
Célio Silveira (PSDB-GO);PSDB;GO;6
Daniel Vilela (PMDB-GO);PMDB;GO;0
Delegado Waldir (PR-GO);PR;GO;0
Fábio Sousa (PSDB-GO);PSDB;GO;0
Flávia Morais (PDT-GO);PDT;GO;0
Giuseppe Vecci (PSDB-GO);PSDB;GO;1
Heuler Cruvinel (PSD-GO);PSD;GO;1
João Campos (PRB-GO);PRB;GO;1
Jovair Arantes (PTB-GO);PTB;GO;3
Lucas Vergilio (SD-GO);SD;GO;0
Magda Mofatto (PR-GO);PR;GO;8
Marcos Abrão (PPS-GO);PPS;GO;0
Pedro Chaves (PMDB-GO);PMDB;GO;0
Roberto Balestra (PP-GO);PP;GO;3
Rubens Otoni (PT-GO);PT;GO;1
Thiago Peixoto;PSD;GO;1
Alberto Fraga (DEM-DF);DEM;DF;7
Augusto Carvalho (SD-DF);SD;DF;7
Erika Kokay (PT-DF);PT;DF;3
Izalci (PSDB-DF);PSDB;DF;3
Laerte Bessa (PR-DF);PR;DF;1
Rogério Rosso (PSD-DF);PSD;DF;1
Ronaldo Fonseca (PROS-DF);PROS;DF;0
Rôney Nemer (PP-DF);PP;DF;9
Alan Rick (PRB-AC);PRB;AC;0
Angelim (PT-AC);PT;AC;0
César Messias (PSB-AC);PSB;AC;3
Flaviano Melo (PMDB-AC);PMDB;AC;3
Jéssica Sales (PMDB-AC);PMDB;AC;0
Leo de Brito (PT-AC);PT;AC;0
Rocha (PSDB-AC);PSDB;AC;2
Sibá Machado (PT-AC);PT;AC;0
Carlos Henrique Gaguim (PTN-TO);PTN;TO;10
César Halum (PRB-TO);PRB;TO;3
Dulce Miranda (PMDB-TO);PMDB;TO;0
Irajá Abreu (PSD-TO);PSD;TO;1
Josi Nunes (PMDB-TO);PMDB;TO;2
Lázaro Botelho (PP-TO);PP;TO;3
Professora Dorinha Seabra Rezende (DEM-TO;DEM;TO;12
